ID,Año,Data
ALB,2012,3.8575592650449835
ALB,2014,0.24668869949528016
ALB,2015,-1.6860005815688055
ALB,2016,-3.7035258615214843
ALB,2017,-5.8058871403336525
ALB,2018,-7.993084418034414
ALB,2019,-10.265117694594664
ALB,2020,-12.621986970014405
DZA,2011,5.535740549588809
AGO,2018,-7.993084418034414
ARG,2011,5.535740549588809
ARG,2012,3.8575592650449835
ARG,2013,2.0945419816998765
ARG,2014,0.24668869949528016
ARG,2016,-3.7035258615214843
ARG,2017,-5.8058871403336525
ARG,2018,-7.993084418034414
ARG,2019,-10.265117694594664
ARG,2020,-12.621986970014405
ARG,2021,-15.063692244293634
ARG,2022,-17.590233517461456
ARM,2011,5.535740549588809
ARM,2012,3.8575592650449835
ARM,2013,2.0945419816998765
ARM,2014,0.24668869949528016
ARM,2015,-1.6860005815688055
ARM,2016,-3.7035258615214843
ARM,2017,-5.8058871403336525
ARM,2018,-7.993084418034414
ARM,2019,-10.265117694594664
ARM,2020,-12.621986970014405
ARM,2021,-15.063692244293634
ARM,2022,-17.590233517461456
AUS,2014,0.24668869949528016
AUS,2016,-3.7035258615214843
AUS,2018,-7.993084418034414
AUT,2011,5.535740549588809
AUT,2012,3.8575592650449835
AUT,2013,2.0945419816998765
AUT,2014,0.24668869949528016
AUT,2015,-1.6860005815688055
AUT,2016,-3.7035258615214843
AUT,2017,-5.8058871403336525
AUT,2018,-7.993084418034414
AUT,2019,-10.265117694594664
AUT,2020,-12.621986970014405
AUT,2021,-15.063692244293634
BGD,2016,-3.7035258615214843
BGD,2022,-17.590233517461456
BLR,2011,5.535740549588809
BLR,2012,3.8575592650449835
BLR,2013,2.0945419816998765
BLR,2014,0.24668869949528016
BLR,2015,-1.6860005815688055
BLR,2016,-3.7035258615214843
BLR,2017,-5.8058871403336525
BLR,2018,-7.993084418034414
BLR,2019,-10.265117694594664
BLR,2020,-12.621986970014405
BEL,2011,5.535740549588809
BEL,2012,3.8575592650449835
BEL,2013,2.0945419816998765
BEL,2014,0.24668869949528016
BEL,2015,-1.6860005815688055
BEL,2016,-3.7035258615214843
BEL,2017,-5.8058871403336525
BEL,2018,-7.993084418034414
BEL,2019,-10.265117694594664
BEL,2020,-12.621986970014405
BEL,2021,-15.063692244293634
BEN,2011,5.535740549588809
BEN,2015,-1.6860005815688055
BEN,2018,-7.993084418034414
BEN,2021,-15.063692244293634
BTN,2012,3.8575592650449835
BTN,2017,-5.8058871403336525
BTN,2022,-17.590233517461456
BOL,2011,5.535740549588809
BOL,2012,3.8575592650449835
BOL,2013,2.0945419816998765
BOL,2014,0.24668869949528016
BOL,2015,-1.6860005815688055
BOL,2016,-3.7035258615214843
BOL,2017,-5.8058871403336525
BOL,2018,-7.993084418034414
BOL,2019,-10.265117694594664
BOL,2020,-12.621986970014405
BOL,2021,-15.063692244293634
BIH,2011,5.535740549588809
BWA,2015,-1.6860005815688055
BRA,2011,5.535740549588809
BRA,2012,3.8575592650449835
BRA,2013,2.0945419816998765
BRA,2014,0.24668869949528016
BRA,2015,-1.6860005815688055
BRA,2016,-3.7035258615214843
BRA,2017,-5.8058871403336525
BRA,2018,-7.993084418034414
BRA,2019,-10.265117694594664
BRA,2020,-12.621986970014405
BRA,2021,-15.063692244293634
BRA,2022,-17.590233517461456
BGR,2011,5.535740549588809
BGR,2012,3.8575592650449835
BGR,2013,2.0945419816998765
BGR,2014,0.24668869949528016
BGR,2015,-1.6860005815688055
BGR,2016,-3.7035258615214843
BGR,2017,-5.8058871403336525
BGR,2018,-7.993084418034414
BGR,2019,-10.265117694594664
BGR,2020,-12.621986970014405
BGR,2021,-15.063692244293634
BFA,2014,0.24668869949528016
BFA,2018,-7.993084418034414
BFA,2021,-15.063692244293634
BDI,2013,2.0945419816998765
BDI,2020,-12.621986970014405
CMR,2014,0.24668869949528016
CMR,2021,-15.063692244293634
CAN,2011,5.535740549588809
CAN,2012,3.8575592650449835
CAN,2013,2.0945419816998765
CAN,2014,0.24668869949528016
CAN,2015,-1.6860005815688055
CAN,2016,-3.7035258615214843
CAN,2017,-5.8058871403336525
CAN,2018,-7.993084418034414
CAN,2019,-10.265117694594664
CPV,2015,-1.6860005815688055
CAF,2021,-15.063692244293634
TCD,2011,5.535740549588809
TCD,2018,-7.993084418034414
TCD,2022,-17.590233517461456
CHL,2011,5.535740549588809
CHL,2013,2.0945419816998765
CHL,2015,-1.6860005815688055
CHL,2017,-5.8058871403336525
CHL,2020,-12.621986970014405
CHL,2022,-17.590233517461456
CHN,2011,5.535740549588809
CHN,2012,3.8575592650449835
CHN,2013,2.0945419816998765
CHN,2014,0.24668869949528016
CHN,2015,-1.6860005815688055
CHN,2016,-3.7035258615214843
CHN,2017,-5.8058871403336525
CHN,2018,-7.993084418034414
CHN,2019,-10.265117694594664
CHN,2020,-12.621986970014405
CHI,2011,5.535740549588809
CHI,2012,3.8575592650449835
CHI,2013,2.0945419816998765
CHI,2014,0.24668869949528016
CHI,2015,-1.6860005815688055
CHI,2016,-3.7035258615214843
CHI,2017,-5.8058871403336525
CHI,2018,-7.993084418034414
CHI,2019,-10.265117694594664
CHI,2020,-12.621986970014405
CHI,2011,5.535740549588809
CHI,2012,3.8575592650449835
CHI,2013,2.0945419816998765
CHI,2014,0.24668869949528016
CHI,2015,-1.6860005815688055
CHI,2016,-3.7035258615214843
CHI,2017,-5.8058871403336525
CHI,2018,-7.993084418034414
CHI,2019,-10.265117694594664
CHI,2020,-12.621986970014405
COL,2011,5.535740549588809
COL,2012,3.8575592650449835
